Title,Director,Genres,Plot,Vote Average,Vote Count
The Last Stop in Yuma County,Francis Galluppi,"Crime, Thriller","While awaiting the next fuel truck at a middle-of-nowhere Arizona rest stop, a traveling young knife salesman is thrust into a high-stakes hostage situation by the arrival of two similarly stranded bank robbers with no qualms about using cruelty—or cold, hard steel—to protect their bloodstained, ill-gotten fortune.",7.1,117
Intercambiadas,Fernando Urdapilleta,Comedy,"One enchanted night, during a meteor shower, young Sebastián made a heartfelt wish: for his loving nanny, Lupe, to become his mother, for her warmth and care were what he longed for, unlike his busy mother, Paola. The stars listened, and in their mysterious way, granted his wish, exchanging the roles of the two women, leading to a whimsical adventure full of unexpected laughs and heartwarming chaos.",8.1,12
To Be Twenty,Fernando Di Leo,Comedy,"Lia and Tina are two beautiful girls who meet and realize that they have a lot in common. They are both young, beautiful and pissed off, so they decide to hitchhike their way to Rome to find Nazariota's commune, a place to stay for free and have all the sex they want... or so they think. Things don't go as they have planned though, and soon they become involved in prostitution, the police and an aggressive gang.",5.8,71
The Garfield Movie,Mark Dindal,"Animation, Comedy, Family, Adventure, Action","Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father – scruffy street cat Vic – Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.",7.1,1064
Bag of Lies,David Andrew James,"Horror, Thriller","Desperate to save his dying wife, Matt turns to The Bag, an ancient relic with dark magic. The cure demands a chilling ritual and strict rules. As his wife heals, Matt's sanity unravels, facing terrifying consequences.",5.7,18
Rippy,Ryan Coonan,"Horror, Mystery","Young police officer Maddy is determined to live up to her deceased father's legacy. Her courage is put to the test when locals are found brutally ripped to shreds by the zombie kangaroo. As the undead beast leaves a trail of carnage, Maddy, with the help of her eccentric Uncle Schmitty and resilient Aunt Donna, must embark on a high-stakes battle to save the town.",4.5,16
Family Pack,François Uzan,"Adventure, Comedy, Fantasy, Action","When an old card game comes to life, a family jumps back in time to a medieval village where they must unmask werewolves to secure their return home.",5.7,234
Japanese Mom,Kim Moo-won,"Romance, Drama","""Innocent face, D-cup breasts and perfect intercourse skills! Son, this is not your girlfriend anymore but your mother!""  Ki-ho brings Yuki from Japan to marry her. However, he starts cheating on her with his ex-girlfriend in Korea.  Min-cheol comforted Yuki and thought of her as his daughter-in-law, but one day he realizes he is looking at her as a woman.  In the end, Yuki and Min-cheol have intercourse without Ki-ho knowing...",6.1,26
The Bad Guys: Haunted Heist,Kevin Peaty,"Animation, Comedy",The crafty Bad Guys crew embarks on a high-stakes Halloween heist to swipe a priceless amulet from a spooky mansion. What could go wrong?,7.3,75
Trap,M. Night Shyamalan,"Thriller, Crime","A father and teen daughter attend a pop concert, where they realize they're at the center of a dark and sinister event.",6.463,1543
Borderlands,Eli Roth,"Action, Science Fiction, Comedy","Returning to her home planet, an infamous bounty hunter forms an unexpected alliance with a team of unlikely heroes. Together, they battle monsters and dangerous bandits to protect a young girl who holds the key to unimaginable power.",5.9,741
Never Let Go,Alexandre Aja,"Horror, Drama","As an evil takes over the world beyond their front doorstep, the only protection for a mother and her twin sons is their house and their family’s protective bond.",6.2,171
You're Killing Me,Beth Hanna,"Horror, Thriller, Action","Eden goes to a coveted 'Heaven and Hell' party, hoping to get a letter of recommendation to an elite university from the wealthy parents of her classmate, but the party quickly turns into a fight for her life.",5.914,29
Kingdom of the Planet of the Apes,Wes Ball,"Science Fiction, Adventure, Action","Several generations following Caesar's reign, apes – now the dominant species – live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.",7.111,3136
The Christmas Charade,Corey Sevier,"TV Movie, Comedy, Romance, Drama","A cautious librarian raised by home security experts finds herself in a real-life adventure when a blind date mix-up leads her into an undercover FBI operation. Forced to pose as the girlfriend of Special Agent Josh, she helps him track down an art thief targeting the Saint Nicholas Ruby at a Christmas Eve charity ball.",6.7,5
IF,John Krasinski,"Comedy, Fantasy, Family",A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,7.3,976
The Emperor's New Groove,Mark Dindal,"Adventure, Animation, Comedy, Family, Fantasy","When self-centered Emperor Kuzco is turned into a llama by his scheming advisor, he is forced to rely on good-hearted peasant Pacha to get back home.",7.6,6672
Female Teacher: In Front of the Students,Yasuaki Uegaki,"Drama, Mystery, Horror","The lovely Reiko has taken a new teaching job at a creepy old high school.  She is an extremely attractive woman and the young students in her class have fallen for her.  One night, after tennis practice, she is brutally assaulted in the locker room shower by a man with a stocking over his face.  Left on the floor naked and in shock, she discovers a single puzzle piece left behind by the crazed man.  A few days later, a pair of students enact a perverted sexual revenge on Reiko for kicking someone off the tennis team.  Could one of these students be the man who brutalized her in the locker room?  Who owns the strange puzzle piece?  As the mystery unfolds, Reiko must come to terms with her own sexual urges and fate.",6.8,13
LEGO Marvel Avengers: Mission Demolition,Ken Cunningham,"Animation, Comedy, Science Fiction","A young, aspiring hero and superhero fan inadvertently unleashes a powerful new villain looking to rid the world of the Avengers.",6.971,51
We Live in Time,John Crowley,"Romance, Drama, Comedy","An up-and-coming chef and a recent divorcée find their lives forever changed when a chance encounter brings them together, in a decade-spanning, deeply moving romance.",8.0,32
Twisters,Lee Isaac Chung,"Thriller, Action","As storm season intensifies, the paths of former storm chaser Kate Carter and reckless social-media superstar Tyler Owens collide when terrifying phenomena never seen before are unleashed. The pair and their competing teams find themselves squarely in the paths of multiple storm systems converging over central Oklahoma in the fight of their lives.",6.953,1686
Charlie and the Chocolate Factory,Tim Burton,"Adventure, Comedy, Family, Fantasy","A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",7.051,15076
Lee,Ellen Kuras,"History, Drama, War","The true story of photographer Elizabeth 'Lee' Miller, a fashion model who became an acclaimed war correspondent for Vogue magazine during World War II.",6.9,146
"The Tunnel to Summer, the Exit of Goodbyes",Tomohisa Taguchi,"Animation, Drama, Romance, Fantasy","Urashima Tunnel – Once you enter that tunnel, you can get whatever you want, but at a price. Kaoru Tohno, who seems to have an elusive personality and traumatic past, and Anzu Hanashiro, who is struggling to reconcile her ideal image and true-to-heart attitude, team up to investigate the Urashima Tunnel and get what they want. This is an unforgettable summer story of nostalgia and sprinting in a remote countryside.",7.7,165
Godzilla x Kong: The New Empire,Adam Wingard,"Action, Adventure, Science Fiction","Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",7.158,3755
xXx,Rob Cohen,"Action, Adventure, Thriller, Crime","Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",5.935,4240
Moana 2,David G. Derrick Jr.,"Animation, Adventure, Family, Comedy","After receiving an unexpected call from her wayfinding ancestors, Moana journeys alongside Maui and a new crew to the far seas of Oceania and into dangerous, long-lost waters for an adventure unlike anything she's ever faced.",0.0,0
Tatsulok: Tatlo Magkasalo,Jojo Nadela,"Drama, Romance","Story about a happily married couple visited by an old friend, who ends up stirring the pot by becoming sexually involved with both the husband and the wife.",6.7,3
Migration,Benjamin Renner,"Animation, Action, Adventure, Comedy, Family","After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",7.435,1777
Speak No Evil,James Watkins,"Horror, Thriller","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.",7.336,847
Uprising,Kim Sang-man,"Action, Drama, History","In the Joseon Dynasty, two friends who grew up together — one the master and one the servant — reunite post-war as enemies on opposing sides.",7.321,84
The Family Plan,Simon Cellan Jones,"Action, Comedy","Dan Morgan is many things: a devoted husband, a loving father, a celebrated car salesman. He's also a former assassin. And when his past catches up to his present, he's forced to take his unsuspecting family on a road trip unlike any other.",7.267,1354
Caras vemos,Beto Gómez,Comedy,"It follows an unconventional family who find themselves embroiled in a personality swap after little Zoe has a mystical encounter with an ancient god. As a result, each family member finds themselves in the body of another.",6.9,7
A Quiet Place: Day One,Michael Sarnoski,"Horror, Science Fiction, Thriller","As New York City is invaded by alien creatures who hunt by sound, a woman named Sam fights to survive with her cat.",6.796,2066
Hijack '93,Robert Peters,"Thriller, Drama","In an effort to dismantle their military-backed government, four men hijack an airplane, leveraging passengers onboard in the name of social change.",5.4,17
Subservience,SK Dale,"Science Fiction, Thriller, Horror","With his wife out sick, a struggling father brings home a lifelike AI, only to have his self-aware new help want everything her new family has to offer... Like the affection of her owner and she'll kill to get it.",6.7,225
The Inseparables,Jérémie Degruson,"Animation, Adventure, Comedy, Family","The animated buddy movie follows the misadventures of Don, a runaway puppet with boundless imaginations, and DJ Doggy Dog, an abandoned plush looking for a friend, who cross paths in Central Park and team up against all odds for a epic friendship adventure in New York.",6.5,34
Kill 'em All 2,Valeri Milev,"Action, Crime, Thriller","Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.",6.8,114
Blood for Dust,Rod Blackhurst,"Action, Crime, Thriller","Reckless Ricky makes serious money dealing illegal weapons throughout the tri-state area and loves to flaunt it. Traveling salesman Cliff, covers the same territory Ricky runs guns through. Desperate to find some financial relief for his struggling family, Cliff agrees to partner with Ricky, to commit cross-state drug and gun deliveries for a mid-level American cartel boss John. When a simple exchange turns into a bloodbath after Ricky kills everyone in a territory grab, the pair find themselves in a pressure cooker situation where unlikely drug dealer Cliff must fight as hard as he can to stay alive.",5.8,45
Immaculate,Michael Mohan,"Horror, Mystery, Thriller","An American nun embarks on a new journey when she joins a remote convent in the Italian countryside. However, her warm welcome quickly turns into a living nightmare when she discovers her new home harbours a sinister secret and unspeakable horrors.",6.3,1188
The Killer's Game,J.J. Perry,"Action, Comedy, Crime","When top hitman Joe Flood is diagnosed with a terminal illness, he decides to take matters into his own hands – by taking a hit out on himself. But when the very hitmen he hired also target his ex-girlfriend, he must fend off an army of assassin colleagues and win back the love of his life before it's too late.",6.5,89
The Maze Runner,Wes Ball,"Action, Mystery, Science Fiction, Thriller","Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow “runners” for a shot at escape.",7.188,16925
Civil War,Alex Garland,"War, Action, Drama","In the near future, a group of war journalists attempt to survive while reporting the truth as the United States stands on the brink of civil war.",6.916,2674
The Godfather,Francis Ford Coppola,"Drama, Crime","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.691,20550
Strange Darling,JT Mollner,"Crime, Horror, Thriller",Nothing is what it seems when a twisted one-night stand spirals into a serial killer’s vicious murder spree.,7.0,189
The Nightmare Before Christmas,Henry Selick,"Fantasy, Animation, Family","Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",7.8,9460
Furiosa: A Mad Max Saga,George Miller,"Action, Science Fiction, Adventure","As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.",7.5,3353
